year,sealevel,uncertainty
1880,-134.2,24.2
1881,-128.6,24.2
1882,-145.4,23
1883,-140.1,22.8
1884,-119.2,22.2
1885,-120.7,21.9
1886,-123.1,20.8
1887,-128.7,20.8
1888,-126.6,20.8
1889,-125.0,20.8
1890,-123.0,20.7
1891,-124.7,20.7
1892,-121.5,20.7
1893,-116.8,20.3
1894,-126.5,21.6
1895,-114.7,21.6
1896,-122.3,21.2
1897,-117.1,20.8
1898,-107.7,19.7
1899,-100.2,19.4
1900,-105.6,18.3
1901,-106.0,17.6
1902,-101.4,17.3
1903,-93.4,17
1904,-103.7,16.9
1905,-109.2,15.4
1906,-102.4,14.7
1907,-103.8,14.9
1908,-106.3,14.5
1909,-101.8,14.6
1910,-101.9,14.6
1911,-93.6,14.2
1912,-96.7,14.2
1913,-94.9,14.1
1914,-88.6,13.8
1915,-80.7,13.6
1916,-82.6,13
1917,-87.1,12.8
1918,-88.7,12.7
1919,-87.1,12.7
1920,-85.8,13
1921,-83.7,13.1
1922,-84.6,13.2
1923,-83.4,13
1924,-90.7,13.1
1925,-88.7,13.6
1926,-82.2,13.7
1927,-83.3,12.9
1928,-87.2,12.3
1929,-85.8,12.1
1930,-81.8,12
1931,-82.2,12.2
1932,-76.5,11.9
1933,-72.2,11.8
1934,-77.6,11.9
1935,-72.0,11.9
1936,-75.9,11.8
1937,-70.2,11.8
1938,-67.6,11.8
1939,-62.4,12.2
1940,-67.7,11.1
1941,-55.5,10.8
1942,-55.5,10.8
1943,-55.5,10.8
1944,-61.9,10.7
1945,-59.1,10.7
1946,-51.6,10.6
1947,-48.5,9.6
1948,-43.7,9.3
1949,-45.0,8.4
1950,-42.8,7.9
1951,-33.3,7.8
1952,-35.9,7.7
1953,-31.5,7.5
1954,-34.4,7.3
1955,-33.5,7.1
1956,-38.6,7
1957,-25.2,6.9
1958,-23.8,6.6
1959,-23.5,6.5
1960,-19.8,6.6
1961,-13.6,6.6
1962,-18.8,6.6
1963,-20.4,6.6
1964,-28.3,6.7
1965,-17.1,6.7
1966,-22.5,6.6
1967,-21.1,6.5
1968,-20.3,6.7
1969,-13.5,7
1970,-15.4,7
1971,-10.2,6.9
1972,-1.1,6.9
1973,-7.1,6.8
1974,4.8,6.8
1975,3.2,6.7
1976,2.2,6.8
1977,0.5,6.6
1978,6.9,6.7
1979,2.0,6.7
1980,8.0,6.5
1981,20.4,6.5
1982,14.6,6.3
1983,23.0,6.5
1984,22.1,6.3
1985,11.8,6.3
1986,12.4,6.3
1987,13.0,6.2
1988,17.7,6.3
1989,22.2,6.4
1990,24.5,6.5
1991,27.0,6.5
1992,27.7,6.6
1993,25.9,6.6
1994,31.1,6.6
1995,34.0,6.6
1996,38.1,6.6
1997,45.1,6.6
1998,35.2,6.8
1999,43.7,6.8
2000,45.0,6.8
2001,50.5,6.7
2002,52.9,6.8
2003,62.1,6.9
2004,61.7,6.9
2005,61.8,6.8
2006,66.1,6.8
2007,68.0,7.1
2008,76.7,6.8
2009,82.5,6.9
2010,90.2,7.1
2011,91.8,7.5
2012,100.6,8.3
2013,92.2,8.9