year,temperature
1880,-0.2447
1881,-0.1947
1882,-0.1947
1883,-0.2647
1884,-0.3347
1885,-0.3447
1886,-0.3247
1887,-0.3747
1888,-0.2747
1889,-0.2247
1890,-0.4447
1891,-0.3747
1892,-0.4247
1893,-0.4447
1894,-0.4047
1895,-0.3447
1896,-0.2147
1897,-0.2347
1898,-0.3847
1899,-0.2447
1900,-0.1947
1901,-0.2647
1902,-0.3647
1903,-0.4547
1904,-0.5447
1905,-0.4147
1906,-0.3447
1907,-0.4947
1908,-0.5647
1909,-0.5547
1910,-0.5147
1911,-0.5647
1912,-0.4647
1913,-0.4547
1914,-0.2747
1915,-0.2047
1916,-0.4247
1917,-0.4447
1918,-0.3347
1919,-0.3347
1920,-0.3447
1921,-0.2747
1922,-0.3547
1923,-0.3447
1924,-0.3847
1925,-0.2747
1926,-0.1947
1927,-0.2747
1928,-0.3047
1929,-0.4247
1930,-0.2347
1931,-0.2047
1932,-0.2447
1933,-0.3747
1934,-0.2347
1935,-0.2647
1936,-0.2447
1937,-0.1447
1938,-0.1547
1939,-0.1347
1940,-0.0247
1941,0.0753
1942,0.0253
1943,0.0353
1944,0.1653
1945,0.0453
1946,-0.1247
1947,-0.1747
1948,-0.1747
1949,-0.1847
1950,-0.2847
1951,-0.1347
1952,-0.0947
1953,-0.0247
1954,-0.2347
1955,-0.2547
1956,-0.3247
1957,-0.0747
1958,-0.0147
1959,-0.0647
1960,-0.1047
1961,-0.0447
1962,-0.0347
1963,-0.0147
1964,-0.2747
1965,-0.1947
1966,-0.1447
1967,-0.1347
1968,-0.1547
1969,-0.0247
1970,-0.0847
1971,-0.2047
1972,-0.0947
1973,0.0453
1974,-0.1947
1975,-0.1247
1976,-0.2047
1977,0.0753
1978,-0.0147
1979,0.1053
1980,0.1453
1981,0.1753
1982,0.0553
1983,0.2153
1984,0.0253
1985,0.0153
1986,0.1053
1987,0.2453
1988,0.2553
1989,0.1753
1990,0.3053
1991,0.2853
1992,0.1353
1993,0.1653
1994,0.2153
1995,0.3353
1996,0.1953
1997,0.3953
1998,0.5153
1999,0.3253
2000,0.3053
2001,0.4253
2002,0.4853
2003,0.4953
2004,0.4553
2005,0.5353
2006,0.4953
2007,0.4853
2008,0.4153
2009,0.5153
2010,0.5853
2011,0.4553
2012,0.5053
2013,0.5453